study,d.GC,N.GC,d.G,N.G,chemo,baseORR
Berlin 2002,128,160,139,162,Fluoropyrimidine,5.6
Herrmann 2005,117,160,116,159,Fluoropyrimidine,7.9
O'Reilly 2004,135,175,137,174,Fluoropyrimidine,7.1
Riess 2005,186,236,179,230,Fluoropyrimidine,7.2
Scheithauer 2003,28,41,26,42,Fluoropyrimidine,14.3
Rocha Lima 2004,142,180,140,180,Irinotecan,4.4
Stathopoulos 2005,34,42,38,50,Irinotecan,8.2
Colucci 2002,47,53,48,54,Platinum,9.2
Heinemann 2003,73,95,78,97,Platinum,8
Li 2004,18,21,23,25,Platinum,12
Louvet 2005,103,157,113,156,Platinum,17.3
Wang 2002,17,20,11,16,Platinum,6.3
Gansauge 2002,20,30,26,30,Other,3.6
Oettle 2005b,215,273,218,273,Other,7.1
Reni 2005,32,52,37,47,Other,8.5
